基金代码,基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名,交易效率,交易效率排名
000166.OF,000166.OF,436.7911263,47.74437009,31.57325957,67.16434511,31.13194602,9.47062742,5.65532915,7.17738546,31.36181528,28.37400797,5.52153694,0.063940844,0.924749891,0.555023923,0.986080905,0.562853415,0.152675076,0.079599826,0.211396259,0.134841235,0.123096999,0.728142671,73,15.76,65.36,0.863636364,0.044802088,0.85645933,4.078479189,0.734232275,-0.4229668437815347,0.4615050021748586
000167.OF,000167.OF,3223.617208,35.54533923,17.13640863,29.35437474,51.96855948,22.50487796,20.2962188,18.49876468,83.87822196,38.21288333,6.22574147,0.72292301,0.709438886,0.227490213,0.567638104,0.97738147,0.960417573,0.976946498,0.980861244,0.975206612,0.369290996,0.829926055,26,66.95,70.48,0.150065246,0.925184863,0.888864724,3.973467837,0.725097869,0.41562092301893677,0.553284036537625
000172.OF,000172.OF,2522.687128,16.32062141,51.05576616,19.05709132,24.40551585,20.10522139,15.51967,10.17495996,60.23976812,55.19157159,3.18279369,0.605045672,0.063940844,0.836885602,0.256633319,0.301000435,0.891257068,0.74815137,0.489343193,0.526315789,0.931709439,0.282731622,153,24.37,37.72,0.964549804,0.115702479,0.349717268,3.167322338,0.622879513,1.3924786079035318,0.6363636363636364
000173.OF,000173.OF,3172.890624,36.62037797,14.25841523,38.82031344,37.86325905,13.82291056,12.24610006,11.02820446,82.39600212,46.44217009,5.72926225,0.714223575,0.743801653,0.169204002,0.799043062,0.811657242,0.447150935,0.433666812,0.581992171,0.963462375,0.744236625,0.761635494,54,56.93,46.61,0.71922575,0.790343628,0.594823836,1.105074366,0.157459765,-9.171956487134734,0.0939538929969552
000190.OF,000190.OF,4247.296404,26.70133743,4.55223581,7.91707904,11.72622117,7.77888956,6.10534169,4.7650714,26.0784591,15.75292639,1.67396604,0.84123532,0.381905176,0.040452371,0.071335363,0.088299261,0.100478469,0.091344063,0.119182253,0.096128752,0.02522836,0.106568073,33,22.18,23.91,0.32122662,0.095258808,0.086559374,0.723329248,0.070900391,2.881711427767401,0.7337973031752936
000195.OF,000195.OF,3264.704009,21.049663,2.72359948,8.67588199,9.83374123,5.9398484,5.1609982,3.72471359,24.76981263,17.47250989,1.19596468,0.729882558,0.194432362,0.023053502,0.081339713,0.067420618,0.053501522,0.065680731,0.081774685,0.088299261,0.033057851,0.069595476,43,14.43,10.47,0.551326664,0.036537625,0.011744237,0.123650852,0.004349717,64.80589110700183,0.9969551979121357
000199.OF,000199.OF,2940.907017,24.44676249,40.57645967,32.02462972,24.27177836,19.83201724,16.28345953,10.36637061,52.57977803,56.80230939,4.79152417,0.671161375,0.307090039,0.727272727,0.644193127,0.297955633,0.87907786,0.800347977,0.513701609,0.3753806,0.949108308,0.602435842,67,32.14,39.85,0.836233145,0.224880383,0.421487603,4.352985613,0.75815572,-0.2781382406558394,0.4784688995215311
000209.OF,000209.OF,669.2253613,28.88197899,47.1565401,15.49406158,29.56038571,13.11124468,13.76000253,12.25342896,62.26308478,38.04875585,4.73810807,0.150065246,0.463679861,0.799913006,0.192257503,0.50369726,0.38538495,0.583297086,0.695519791,0.568073075,0.36276642,0.591126577,53,27.48,40.62,0.705524141,0.15615485,0.443671161,2.605535282,0.53153545,-0.3430116668057464,0.4728142670726403
000214.OF,000214.OF,5177.986114,19.63718219,11.1926493,9.52119272,9.26428797,8.91301244,6.20624775,3.30046702,20.83614223,26.5608773,1.48380888,0.889952153,0.143105698,0.119617225,0.094823836,0.061765985,0.130491518,0.094388865,0.066115702,0.061331013,0.09830361,0.090039147,179,15.57,23.27,0.973901696,0.043062201,0.082209656,0.622979778,0.052196607,9.73674790773064,0.921705089169204
000219.OF,000219.OF,127.7991637,38.18671575,29.41976953,50.53237775,35.6259963,12.77776081,9.46980976,8.94615961,61.97256855,29.21564835,3.9790633,0.008264463,0.789038712,0.514571553,0.923010004,0.747716398,0.356241844,0.227925185,0.356241844,0.561983471,0.134406264,0.439321444,29,56.48,43.56,0.221835581,0.780339278,0.527185733,0.983205219,0.129621575,3.0975867612842696,0.7446715963462375
000220.OF,000220.OF,994.7253493,66.38566696,31.74255809,63.3636218,54.24642185,19.10600209,17.34750129,16.7308816,81.37380143,24.46418,10.62845105,0.265332753,0.992170509,0.558938669,0.979121357,0.98477599,0.850804698,0.868638538,0.945193562,0.94954328,0.081339713,0.991735537,28,61.28,86.19,0.196389735,0.856894302,0.96215746,2.13640116,0.424097434,-18.23047412593616,0.030448020878642887
000242.OF,000242.OF,676.3323805,28.55955233,44.96174384,25.70533905,27.73479981,12.89776447,12.87737707,9.05728002,62.03853415,41.10705874,3.76188683,0.151370161,0.449325794,0.778164419,0.442801218,0.427142236,0.364506307,0.49630274,0.369290996,0.562418443,0.504567203,0.394954328,33,47.9,42.77,0.32122662,0.588734232,0.505219661,2.099573929,0.415832971,-5.192074253461546,0.18921270117442365
000251.OF,000251.OF,4537.592808,9.146900263,43.56833219,12.18650785,8.61402042,23.64111608,12.80449318,1.93366924,30.76714253,77.68635301,1.54038379,0.858634189,0.01000435,0.759895607,0.140495868,0.052631579,0.977816442,0.489343193,0.030448021,0.130491518,0.996520226,0.093953893,36,57.75,89.95,0.398869074,0.802087864,0.981731187,1.200616785,0.184862984,14.96849344814049,0.960852544584602
000259.OF,000259.OF,1633.435927,40.05954667,33.66450695,35.4044488,33.0572923,11.60998568,12.68507704,11.40838671,59.19658889,33.79516828,6.20427096,0.431491953,0.825576338,0.605045672,0.726837756,0.655067421,0.275337103,0.475424097,0.6246194,0.50369726,0.21922575,0.827316224,63,27.22,33.47,0.80861244,0.151370161,0.244019139,3.098233118,0.608090474,-4.3807955028127745,0.215311004784689
000263.OF,000263.OF,1410.87507,40.42378411,25.14122035,42.69343334,36.44472444,15.05518279,14.64905928,13.3431761,67.26496258,38.37911902,6.6387679,0.384949978,0.830795998,0.405393649,0.858199217,0.771204872,0.550674206,0.665941714,0.776424532,0.68508047,0.377990431,0.873423227,47,36.07,46.61,0.621574598,0.290126142,0.594823836,2.293935305,0.463244889,-0.3653529976077512,0.4688995215311005
000264.OF,000264.OF,709.7404113,27.40082059,38.22346085,26.0130751,31.83989568,13.3820971,13.00956152,10.81060929,64.74609207,36.35113158,3.84799709,0.161809482,0.408873423,0.694214876,0.454110483,0.601130926,0.409308395,0.508046977,0.558068726,0.624184428,0.30230535,0.412353197,39,48.34,33.4,0.471944324,0.60200087,0.240756851,5.9674103,0.873423227,-1.3851481001733699,0.373640713353632
000270.OF,000270.OF,1266.999434,18.48158588,1.50752072,1.79014362,2.52203038,1.47129458,0.98352472,0.80130374,5.96460966,3.60786903,0.2311403,0.349282297,0.113527621,0.014789039,0.017398869,0.006524576,0.008699435,0.007394519,0.009134406,0.01261418,0.00260983,0.011309265,19,5.06,3.53,0.043497173,0.00260983,0.002174859,1.483182705,0.257503262,-0.3819654436976461,0.46715963462374943
000273.OF,000273.OF,7021.097839,13.65872826,20.23206817,10.4882849,12.18617392,17.54355214,11.8311171,4.63382791,35.55071046,50.2748351,2.07600649,0.971726838,0.030882993,0.290996085,0.108742932,0.094823836,0.742496738,0.40060896,0.116137451,0.162244454,0.852979556,0.15354502,38,44.27,51.24,0.447803393,0.49108308,0.677250979,3.888886592,0.715093519,3.8929133858373,0.7833840800347978
000279.OF,000279.OF,4701.112499,25.81948592,24.54129336,22.87502705,27.05486945,16.88286194,14.39391277,10.27999798,50.17772637,43.19006335,4.23223497,0.866028708,0.348412353,0.387124837,0.363201392,0.40800348,0.684645498,0.643323184,0.503262288,0.330143541,0.605915615,0.494127882,32,46.0,34.31,0.297085689,0.540234885,0.260330579,2.043568486,0.400173989,4.252868895532577,0.8033927794693345
000294.OF,000294.OF,2175.440713,30.84357482,77.12826737,34.5834722,36.32174714,16.61874298,15.81498523,13.70674997,54.41208993,39.52933483,5.49019285,0.535885167,0.544584602,0.955632884,0.707699,0.767725098,0.666376686,0.769464985,0.798173119,0.411483254,0.432361896,0.723792953,50,46.01,42.09,0.6661592,0.5415398,0.484123532,2.135895889,0.42322749,-9.112192368660905,0.09569377990430622
000308.OF,000308.OF,1108.447822,26.16939205,62.12328989,40.44129873,35.0731007,16.25264145,13.17641711,12.17484403,66.59743239,41.80714929,4.77899759,0.300565463,0.361896477,0.910395824,0.82862114,0.727707699,0.643323184,0.522836016,0.688560244,0.665941714,0.537625054,0.599826011,40,45.37,37.91,0.494780339,0.5215311,0.353632014,6.610977347,0.899956503,-3.160916998071813,0.2679425837320574
000309.OF,000309.OF,1467.313446,25.71040588,24.42902819,28.86281218,26.98337421,12.75412151,8.79776444,6.89847264,59.84543929,47.18545525,2.50085571,0.392779469,0.344062636,0.383645063,0.548934319,0.406263593,0.353197042,0.187907786,0.196607221,0.514571553,0.768595041,0.193562418,31,69.51,47.38,0.275119617,0.950413223,0.613745107,6.181301769,0.88168769,1.3932401687926717,0.6367986080904742
000326.OF,000326.OF,314.7049323,21.96620235,13.88598653,20.16664784,26.97345345,12.23101523,9.83552824,8.35704758,58.81095972,38.63879619,2.85924396,0.036972597,0.225315355,0.162679426,0.288386255,0.405828621,0.32492388,0.253588517,0.306655067,0.493257938,0.389299696,0.23183993,82,36.26,28.61,0.891039582,0.29338843,0.147020444,3.316348561,0.645063071,2.2598316106254432,0.6985645933014354
