日期,小盘价值,小盘成长,大盘价值,大盘成长
2019/5/29,0.1633,0.2595,0.8508,1.1162
2019/5/30,-0.2622,-0.2436,-0.5064,-0.8162
2019/5/31,-0.6674,-0.8531,-0.7637,-1.1641
2019/6/3,-1.2842,-1.6926,-0.0849,-0.5436
2019/6/4,-2.0904,-2.721,-0.3883,-1.0299
2019/6/5,-1.3727,-1.5651,-0.5144,-0.9061
2019/6/6,-2.2401,-2.7451,-0.1821,-1.2147
2019/6/10,-1.3477,-1.3697,1.1022,-0.1941
2019/6/11,4.1225,4.8364,3.6278,5.1117
2019/6/12,2.4157,2.8693,1.5652,2.899
2019/6/13,-0.3823,-0.2615,-0.9222,-1.0719
2019/6/14,-1.0074,-1.4043,-0.9095,-1.1708
2019/6/17,-1.3068,-1.9726,-0.3476,-1.3735
2019/6/18,-0.0146,-0.0697,0.6036,-0.0193
2019/6/19,0.7207,1.3667,1.4897,1.7087
2019/6/20,2.9275,2.9394,4.1218,4.4482
2019/6/21,2.9494,3.3417,2.4824,3.2483
2019/6/24,1.0575,1.5818,-0.2345,0.5268
2019/6/25,-1.1069,-1.4347,-1.1936,-0.509
2019/6/26,-1.2742,-1.4295,-1.6762,-0.8743
2019/6/27,0.3051,1.1367,0.6515,1.1893
2019/6/28,-0.5389,-0.0886,0.7395,0.919
2019/7/1,1.5502,2.0962,2.2364,3.4208
2019/7/2,2.5536,3.373,2.3733,3.6323
2019/7/3,-0.5488,-0.8665,-0.4746,-2.0988
2019/7/4,-0.4413,-1.0396,-0.6292,-2.624
2019/7/5,0.423,0.193,0.066,0.3367
2019/7/8,-2.7481,-2.7817,-2.0438,-1.3033
2019/7/9,-3.034,-3.1239,-2.9917,-2.1693
2019/7/10,-1.0111,-0.8318,-1.057,0.0572
2019/7/11,-1.0379,-0.9145,-0.1302,-0.1918
2019/7/12,0.8768,0.2095,0.6692,0.4972
2019/7/15,1.6599,1.3107,0.4184,1.1601
2019/7/16,1.2689,1.4386,-0.4941,-0.1661
2019/7/17,0.3754,0.2694,-0.5918,-0.5548
2019/7/18,-1.5943,-1.807,-0.6268,-1.0672
2019/7/19,-0.9337,-1.0507,0.8039,-0.3797
2019/7/22,-1.2481,-1.598,0.9157,0.303
2019/7/23,-1.1066,-1.3391,-0.3321,-0.1402
2019/7/24,1.4395,2.2458,0.8267,1.1163
2019/7/25,0.7323,1.4034,1.5327,1.7039
2019/7/26,0.1781,0.1721,0.9828,1.1999
2019/7/29,-0.1094,0.1263,0.0112,0.2021
2019/7/30,0.2832,0.53,0.3463,0.2122
2019/7/31,-0.1756,-0.3198,-0.6475,-0.4674
2019/8/1,-1.4683,-1.263,-2.1765,-1.5306
2019/8/2,-2.4032,-1.9683,-2.228,-2.0663
2019/8/5,-3.184,-2.7331,-3.1744,-3.1432
2019/8/6,-4.3948,-3.431,-2.8107,-3.1831
2019/8/7,-3.0168,-2.243,-1.4112,-1.5115
2019/8/8,0.2332,0.7758,0.7765,1.2892
2019/8/9,-0.6401,-0.0226,0.655,0.0881
2019/8/12,0.2507,1.2274,0.5796,0.7841
2019/8/13,0.7087,1.5529,0.0237,1.2507
2019/8/14,0.0565,-0.0485,-1.1488,-0.2807
2019/8/15,0.6493,1.1699,0.2689,0.8961
2019/8/16,0.2714,1.3046,0.4524,0.9084
2019/8/19,3.0764,3.7817,1.7531,3.1958
2019/8/20,3.1177,3.213,1.2969,2.6995
2019/8/21,0.429,0.2173,-0.2265,0.1847
2019/8/22,0.1656,0.1944,-0.0169,0.6384
2019/8/23,-0.1165,-0.1,0.8615,1.3276
2019/8/26,-0.7242,-0.8651,-0.7579,-0.8399
2019/8/27,0.9031,1.2297,-0.7449,0.1435
2019/8/28,1.0023,1.5241,0.2311,1.4787
2019/8/29,-0.572,-0.1628,-1.3326,-0.4053
2019/8/30,-1.0937,-1.3318,-0.3819,0.2438
2019/9/2,0.7936,1.1782,1.31,1.8507
2019/9/3,1.9437,3.6867,1.0072,1.7028
2019/9/4,1.1967,1.8933,1.3682,0.9309
2019/9/5,1.4356,2.3043,2.0159,1.7189
2019/9/6,0.6477,1.7174,1.4135,1.3063
2019/9/9,1.8545,3.2843,0.7701,1.1203
2019/9/10,1.5646,2.4305,-0.5407,0.4942
2019/9/11,-0.3007,-0.8498,-0.3884,-1.6144
2019/9/12,0.2228,0.0854,1.3962,-0.0361
2019/9/16,0.5971,1.137,0.7147,0.8948
2019/9/17,-2.0865,-1.5501,-2.1068,-2.0069
2019/9/18,-2.0752,-2.2725,-1.4291,-0.8558
2019/9/19,0.3474,1.3818,0.0772,1.3748
2019/9/20,0.2369,1.8587,0.011,0.7727
2019/9/23,-1.2661,-0.5752,-1.0891,-0.9661
2019/9/24,-1.0952,-0.7341,-1.1986,-0.728
2019/9/25,-1.2181,-1.8474,-0.4935,-0.4963
2019/9/26,-2.5043,-5.0289,-0.1392,-1.9692
2019/9/27,-0.9576,-2.1966,0.0855,-0.2375
2019/9/30,-0.5415,-0.5679,-0.889,-0.2588
2019/10/8,-0.2543,-1.6173,0.4882,-0.4719
2019/10/9,1.1293,0.6516,1.5933,0.0238
2019/10/10,1.3878,2.3584,0.5723,0.5602
2019/10/11,1.2503,1.5414,1.5527,1.9433
2019/10/14,1.96,1.6514,2.4424,1.6992
2019/10/15,0.6279,-0.2115,0.5522,0.5812
2019/10/16,-1.2858,-2.4617,-0.293,-0.8512
2019/10/17,-0.9992,-0.7538,0.1472,-0.6294
2019/10/18,-1.9893,-1.4285,-1.5227,-1.0953
2019/10/21,-1.6405,-1.8786,-0.9071,-0.9619
2019/10/22,0.5335,0.6855,0.7148,0.8242
2019/10/23,-0.0221,0.3807,-0.2688,0.1428
2019/10/24,-0.6597,-1.3946,-0.0646,-0.7177
2019/10/25,0.6317,0.2864,-0.0522,0.8983
2019/10/28,1.6228,3.0866,-0.4074,1.7703
2019/10/29,-0.1412,0.4493,-0.357,0.6859
2019/10/30,-2.0754,-2.5667,-0.6494,-0.5663
2019/10/31,-1.4107,-1.4677,-0.3152,-0.5869
2019/11/1,0.4595,0.1926,2.4556,2.0482
2019/11/4,1.2338,1.7567,3.1,2.8136
2019/11/5,0.7996,1.3603,1.2214,1.4802
2019/11/6,-0.1663,-0.1632,0.5299,0.1601
2019/11/7,-0.2505,0.0612,-0.1099,-0.21
2019/11/8,-0.0755,0.3953,-0.6425,0.0347
2019/11/11,-2.8341,-2.666,-2.3436,-2.2436
2019/11/12,-2.2,-2.0896,-1.9612,-2.0601
2019/11/13,-0.3379,0.1779,-0.6784,0.1897
2019/11/14,-0.2905,0.6313,-0.7233,0.5419
2019/11/15,-0.8769,-0.12,-0.4877,-0.8215
2019/11/18,-0.4232,-0.4968,0.6457,-0.3901
2019/11/19,2.0665,2.6951,1.427,2.1132
2019/11/20,0.6909,1.6239,-0.6728,0.4809
2019/11/21,-0.6559,-0.5857,-1.7589,-1.5314
2019/11/22,-0.5261,-0.6888,-0.935,-1.7879
2019/11/25,0.7379,-1.1311,1.4666,-0.7782
2019/11/26,0.5615,-0.6107,1.6282,1.2763
2019/11/27,-0.8178,0.0618,-0.7126,0.2217
2019/11/28,-0.3526,0.1738,-0.8364,-0.7913
2019/11/29,-0.2505,-0.1537,-1.0364,-1.5257
2019/12/2,0.2685,0.2932,-0.4497,-0.7805
2019/12/3,0.5557,0.9812,0.8894,0.881
2019/12/4,0.0112,0.7004,0.405,0.7081
2019/12/5,0.3359,1.0088,0.1728,1.3987
2019/12/6,1.2754,1.9261,0.5351,2.1862
2019/12/9,1.0944,1.3292,0.4501,0.9566
2019/12/10,0.4015,0.9466,0.2252,-0.0299
2019/12/11,-0.2761,0.1085,0.3793,-0.3879
2019/12/12,-0.5142,-0.5764,0.329,-1.1253
2019/12/13,0.9661,1.2552,1.9383,1.4652
2019/12/16,2.4502,3.3546,2.2174,2.3875
2019/12/17,2.6407,3.6089,1.2051,1.7668
2019/12/18,1.433,1.5255,0.8833,0.9509
2019/12/19,0.5659,0.347,0.0178,-0.8912
2019/12/20,-0.062,-0.8334,0.123,-0.7117
2019/12/23,-2.345,-3.2775,-1.0173,-1.18
2019/12/24,-0.5551,0.0449,-0.6793,-0.1165
2019/12/25,1.0509,2.3266,-0.0441,0.8764
2019/12/26,0.746,0.959,0.6475,0.6156
2019/12/27,0.5022,-0.0409,1.0579,0.7145
2019/12/30,1.0532,0.0218,0.9767,1.7918
