基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名
003831.OF,1083.211122,22.42500959,34.19026948,24.08510025,18.20212575,16.64770564,9.01441065,4.76276659,44.08146954,47.10204977,3.1214172,0.229062276,0.085182534,0.290264853,0.22226199,0.11095204,0.622405154,0.161417323,0.085898354,0.125268432,0.890479599,0.135647817,24,55.43,36.64,0.069971367,0.755905512,0.244273443,1.162339339,0.179670723
003834.OF,2212.75198,33.30324996,96.32244875,50.41668689,20.73814624,12.58591158,13.07645016,10.77001386,58.83219624,41.58590765,6.94590559,0.511811024,0.347530422,0.94380816,0.636363636,0.14781675,0.300644238,0.488904796,0.377952756,0.266284896,0.679312813,0.477451682,41,55.84,57.88,0.37007874,0.766105941,0.686828919,1.047087335,0.149606299
003835.OF,3835.862351,33.5459201,31.31599329,12.25358131,25.16283356,12.92036826,13.94756115,13.91235743,56.43682179,33.19249918,4.64324607,0.774516822,0.352899069,0.245884037,0.101288475,0.255905512,0.323550465,0.577308518,0.753400143,0.233715104,0.25948461,0.243736578,53,35.31,25.25,0.58285612,0.272190408,0.090909091,8.450675605,0.933786686
003839.OF,578.6281486,23.29982821,17.73102195,10.90170515,8.27878245,3.92530566,4.00820839,3.69180732,24.69200376,13.42316939,1.42000121,0.087687903,0.09341446,0.096993558,0.088761632,0.03793844,0.041159628,0.053328561,0.060128848,0.059055118,0.040801718,0.044738726,52,15,15.43,0.566750179,0.062276306,0.051181102,0.341650887,0.021116679
003842.OF,1988.421731,25.48751821,12.66063634,8.98876183,6.4401688,4.40547662,3.31769418,2.60194614,17.64161704,13.45513008,1.23774866,0.46385111,0.128131711,0.057981389,0.070508232,0.025769506,0.052254832,0.039370079,0.034717251,0.033643522,0.041159628,0.035433071,54,9.45,10.92,0.599498926,0.025053686,0.031138153,1.604939616,0.291338583
003853.OF,1414.752177,48.35467276,81.65236802,2.44927449,33.56869636,15.63947311,11.75347573,10.0683678,62.95610282,39.389614,7.4546681,0.322476736,0.841803865,0.876521117,0.027201145,0.66607015,0.549749463,0.353256979,0.312455261,0.360773085,0.549391553,0.554044381,63,45.46,56.27,0.713314245,0.5182534,0.657838225,2.36720537,0.469935576
003857.OF,670.9383025,32.30031648,43.07025205,56.98689106,31.49964844,11.74226348,12.26261705,11.72122588,73.63940082,42.99744258,8.07946013,0.113815319,0.309949893,0.424123121,0.744810308,0.566571224,0.245526127,0.405153901,0.494989263,0.776664281,0.749821045,0.628489621,31,51.74,50.57,0.180386543,0.676807445,0.556907659,7.014334547,0.900143164
003882.OF,545.9799905,24.14210431,17.25161414,11.39870272,8.39323194,3.86871788,3.91803713,3.64769949,25.05967996,14.01276919,1.42845066,0.076950608,0.107015032,0.094130279,0.094130279,0.039012169,0.039727989,0.050823193,0.058697208,0.062276306,0.043664996,0.045454545,45,15.66,14.46,0.445776664,0.066929134,0.047959914,0.410946261,0.027916965
003886.OF,1157.266944,37.26684478,140.6271326,34.43160954,34.70098089,18.17713397,18.16986164,14.42103134,76.30558828,41.54444331,9.67160273,0.249105225,0.486757337,0.991768074,0.363636364,0.712240515,0.729420186,0.896206156,0.799212598,0.863994273,0.675017895,0.821045097,67,51.4,46.6,0.748568361,0.668217609,0.479599141,2.648940898,0.531138153
003889.OF,3501.572948,36.8054378,66.89538456,53.1993512,43.12867035,17.81093444,14.88087187,13.01481606,72.42876173,38.93618953,8.21615409,0.738725841,0.469219757,0.762705798,0.683965641,0.892627058,0.705440229,0.679312813,0.658554044,0.732999284,0.526843236,0.651037938,95,42.72,46.2,0.876342162,0.452576951,0.471725125,2.648184755,0.530780243
